Window,True Label,IF Anomaly,LSTM Anomaly,XGBoost Prediction
1,0,1,No,0
2,0,1,No,0
3,0,-1,No,0
4,0,1,No,0
5,0,1,No,0
6,0,-1,No,0
7,0,1,No,0
8,0,1,No,0
9,0,1,No,0
10,0,1,No,0
11,0,1,No,0
12,0,1,No,0
13,0,1,No,0
14,0,1,No,0
15,0,1,No,0
16,0,1,No,0
17,0,1,No,0
18,0,1,No,0
19,0,1,No,0
20,0,1,No,0
21,0,1,No,0
22,0,1,No,0
23,0,1,No,0
24,0,1,No,0
25,0,1,No,0
26,0,1,No,0
27,0,1,No,0
28,0,1,No,0
29,0,1,No,0
30,0,1,No,0
31,0,1,No,0
32,0,1,No,0
33,0,1,No,0
34,0,1,No,0
35,0,1,No,0
36,0,1,No,0
37,0,1,No,0
38,0,1,No,0
39,0,1,No,0
40,0,1,No,0
41,0,1,No,0
42,0,1,No,0
43,0,1,No,0
44,0,1,No,0
45,0,1,No,0
46,0,1,No,0
47,0,1,No,0
48,0,1,No,0
49,0,1,No,0
50,0,1,No,0
51,0,1,No,0
52,0,1,No,0
53,0,1,No,0
54,0,1,No,0
55,0,1,No,0
56,0,-1,No,0
57,0,-1,No,0
58,0,1,No,0
59,0,1,No,0
60,0,1,No,0
61,0,1,No,0
62,0,1,No,0
63,0,1,No,0
64,0,1,No,0
65,0,1,No,0
66,0,1,No,0
67,0,1,No,0
68,0,1,No,0
69,0,1,No,0
70,0,1,No,0
71,0,1,No,0
72,0,1,No,0
73,0,1,No,0
74,0,1,No,0
75,0,1,No,0
76,0,1,No,0
77,0,1,No,0
78,0,1,No,0
79,0,1,No,0
80,0,1,No,0
81,0,1,No,0
82,0,1,No,0
83,0,1,No,0
84,0,1,No,0
85,0,1,No,0
86,0,1,No,0
87,0,1,No,0
88,0,1,No,0
89,0,1,No,0
90,0,1,No,0
91,0,1,No,0
92,0,1,No,0
93,0,1,No,0
94,0,1,No,0
95,0,1,No,0
96,0,1,No,0
97,0,-1,No,0
98,0,-1,No,0
99,0,1,No,0
100,0,1,No,0
101,0,1,No,0
102,0,1,No,0
103,0,1,No,0
104,0,1,No,0
105,0,1,No,0
106,0,1,No,0
107,0,1,No,0
108,0,1,No,0
109,0,1,No,0
110,0,1,No,0
111,0,1,No,0
112,0,-1,No,0
113,0,1,No,0
114,0,1,No,0
115,0,1,No,0
116,0,1,No,0
117,0,1,No,0
118,0,-1,No,0
119,0,-1,No,0
120,0,1,No,0
121,0,1,No,0
122,0,1,No,0
123,0,1,No,0
124,0,1,No,0
125,0,1,No,0
126,0,1,No,0
127,0,1,No,0
128,0,1,No,0
129,0,1,No,0
130,0,1,No,0
131,0,1,No,0
132,0,1,No,0
133,0,1,No,0
134,0,1,No,0
135,0,1,No,0
136,0,1,No,0
137,0,1,No,0
138,0,1,No,0
139,0,1,No,0
140,0,1,No,0
141,0,1,No,0
142,0,1,No,0
143,0,1,No,0
144,0,-1,No,0
145,0,1,No,0
146,0,1,No,0
147,0,1,No,0
148,0,1,No,0
149,0,1,No,0
150,0,1,No,0
151,0,1,No,0
152,0,1,No,0
153,0,1,No,0
154,0,1,No,0
155,0,-1,No,0
156,0,1,No,0
157,0,1,No,0
158,0,1,No,0
159,0,1,No,0
160,0,1,No,0
161,0,1,No,0
162,0,1,No,0
163,0,1,No,0
164,0,1,No,0
165,0,1,No,0
166,0,1,No,0
167,0,1,No,0
168,0,1,No,0
169,0,1,No,0
170,0,1,No,0
171,0,1,No,0
172,0,1,No,0
173,0,1,No,0
174,0,1,No,0
175,0,1,No,0
176,0,1,No,0
177,0,1,No,0
178,0,1,No,0
179,0,1,No,0
180,0,1,No,0
181,0,1,No,0
182,0,1,No,0
183,0,1,No,0
184,0,1,No,0
185,0,1,No,0
186,0,1,No,0
187,0,1,No,0
188,0,1,No,0
189,0,1,No,0
190,0,1,No,0
191,0,1,No,0
192,0,1,No,0
193,0,1,No,0
194,0,1,No,0
195,0,1,No,0
196,0,1,No,0
197,0,1,No,0
198,0,-1,No,0
199,0,1,No,0
200,0,1,No,0
201,0,1,No,0
202,0,1,No,0
203,0,1,No,0
204,0,1,No,0
205,0,1,No,0
206,0,1,No,0
207,0,1,No,0
208,0,1,No,0
209,0,1,No,0
210,0,1,No,0
211,0,1,No,0
212,0,1,No,0
213,0,1,No,0
214,0,1,No,0
215,0,1,No,0
216,0,1,No,0
217,0,1,No,0
218,0,1,No,0
219,0,1,No,0
220,0,1,No,0
221,0,1,No,0
222,0,1,No,0
223,0,1,No,0
224,0,1,No,0
225,0,1,No,0
226,0,1,No,0
227,0,1,No,0
228,0,1,No,0
229,0,1,No,0
230,0,1,No,0
231,0,1,No,0
232,0,1,No,0
233,0,1,No,0
234,0,1,No,0
235,0,1,No,0
236,0,1,No,0
237,0,1,No,0
238,0,1,No,0
239,0,1,No,0
240,0,1,No,0
241,0,1,No,0
242,0,1,No,0
243,0,1,No,0
244,0,1,No,0
245,0,1,No,0
246,0,1,No,0
247,0,1,No,0
248,0,-1,No,0
249,0,1,No,0
250,0,-1,No,0
251,0,1,No,0
252,0,1,No,0
253,0,1,No,0
254,0,1,No,0
255,0,1,No,0
256,0,1,No,0
257,0,1,No,0
258,0,1,No,0
259,0,1,No,0
260,0,1,No,0
261,0,1,No,0
262,0,1,No,0
263,0,1,No,0
264,0,1,No,0
265,0,1,No,0
266,0,1,No,0
267,0,1,No,0
268,0,1,No,0
269,0,1,No,0
270,0,1,No,0
271,0,1,No,0
272,0,1,No,0
273,0,1,No,0
274,0,1,No,0
275,0,1,No,0
276,0,1,No,0
277,0,1,No,0
278,0,1,No,0
279,0,1,No,0
280,0,1,No,0
281,0,1,No,0
282,0,1,No,0
283,0,-1,No,0
284,0,1,No,0
285,0,1,No,0
286,0,1,No,0
287,0,1,No,0
288,0,1,No,0
289,0,1,No,0
290,0,1,No,0
291,0,1,No,0
292,0,1,No,0
293,0,1,No,0
294,0,1,No,0
295,0,1,No,0
296,0,1,No,0
297,0,1,No,0
298,0,1,No,0
299,0,1,No,0
300,0,1,No,0
301,0,1,No,0
302,0,1,No,0
303,0,1,No,0
304,0,1,No,0
305,0,1,No,0
306,0,1,No,0
307,0,1,No,0
308,0,1,No,0
309,0,1,No,0
310,0,1,No,0
311,0,1,No,0
312,0,1,No,0
313,0,1,No,0
314,0,1,No,0
315,0,1,No,0
316,0,1,No,0
317,0,1,No,0
318,0,1,No,0
319,0,1,No,0
320,0,1,No,0
321,0,1,No,0
322,0,1,No,0
323,0,1,No,0
324,0,1,No,0
325,0,1,No,0
326,0,1,No,0
327,0,1,No,0
328,0,1,No,0
329,0,1,No,0
330,0,1,No,0
331,0,1,No,0
332,0,1,No,0
333,0,1,No,0
334,0,1,No,0
335,0,1,No,0
336,0,1,No,0
337,0,1,No,0
338,0,1,No,0
339,0,1,No,0
340,0,1,No,0
341,0,1,No,0
342,0,1,No,0
343,0,1,No,0
344,0,1,No,0
345,0,1,No,0
346,0,1,No,0
347,0,1,No,0
348,0,1,No,0
349,0,1,No,0
350,0,1,No,0
351,0,1,No,0
352,0,1,No,0
353,0,-1,No,0
354,0,1,No,0
355,0,1,No,0
356,0,1,No,0
357,0,1,No,0
358,0,1,No,0
359,0,1,No,0
360,0,-1,No,0
361,0,-1,No,0
362,0,1,No,0
363,0,-1,No,0
364,0,1,No,0
365,0,1,No,0
366,0,1,No,0
367,0,1,No,0
368,0,1,No,0
369,0,1,No,0
370,0,1,No,0
371,0,1,No,0
372,0,1,No,0
373,0,1,No,0
374,0,1,No,0
375,0,1,No,0
376,0,1,No,0
377,0,1,No,0
378,0,1,No,0
379,0,1,No,0
380,0,1,No,0
381,0,1,No,0
382,0,1,No,0
383,0,1,No,0
384,0,1,No,0
385,0,1,No,0
386,0,1,No,0
387,0,1,No,0
388,0,-1,No,0
389,0,1,No,0
390,0,1,No,0
391,0,-1,No,0
392,0,1,No,0
393,0,1,No,0
394,0,1,No,0
395,0,1,No,0
396,0,1,No,0
397,0,1,No,0
398,0,1,No,0
399,0,1,No,0
400,0,1,No,0
401,0,1,No,0
402,0,-1,No,0
403,0,1,No,0
404,0,1,No,0
405,0,1,No,0
406,0,1,No,0
407,0,1,No,0
408,0,1,No,0
409,0,1,No,0
410,0,1,No,0
411,0,1,No,0
412,0,1,No,0
413,0,1,No,0
414,0,1,No,0
415,0,1,No,0
416,0,1,No,0
417,0,1,No,0
418,0,1,No,0
419,0,1,No,0
420,0,1,No,0
421,0,1,No,0
422,0,1,No,0
423,0,1,No,0
424,0,1,No,0
425,0,1,No,0
426,0,1,No,0
427,0,1,No,0
428,0,1,No,0
429,0,1,No,0
430,0,1,No,0
431,0,1,No,0
432,0,1,No,0
433,0,1,No,0
434,0,1,No,0
435,0,1,No,0
436,0,1,No,0
437,0,1,No,0
438,0,1,No,0
439,0,1,No,0
440,0,1,No,0
441,0,1,No,0
442,0,1,No,0
443,0,1,No,0
444,0,-1,No,0
445,0,1,No,0
446,0,1,No,0
447,0,1,No,0
448,0,1,No,0
449,0,1,No,0
450,0,1,No,0
451,0,1,No,0
452,0,1,No,0
453,0,1,No,0
454,0,-1,No,0
455,0,1,No,0
456,0,1,No,0
457,0,1,No,0
458,0,1,No,0
459,0,1,No,0
460,0,1,No,0
461,0,1,No,0
462,0,1,No,0
463,0,1,No,0
464,0,1,No,0
465,0,1,No,0
466,0,1,No,0
467,0,1,No,0
468,0,1,No,0
469,0,1,No,0
470,0,1,No,0
471,0,1,No,0
472,0,1,No,0
473,0,1,No,0
474,0,1,No,0
475,0,1,No,0
476,1,-1,Yes,1
477,1,-1,Yes,1
478,1,-1,Yes,1
479,1,-1,Yes,1
480,1,-1,Yes,1
481,1,-1,Yes,1
482,1,-1,Yes,1
483,1,-1,Yes,1
484,1,-1,Yes,1
485,1,-1,Yes,1
486,1,-1,Yes,1
487,1,-1,Yes,1
488,1,-1,Yes,1
489,1,-1,Yes,1
490,1,-1,Yes,1
491,1,-1,Yes,1
492,1,-1,Yes,1
493,1,-1,Yes,1
494,1,-1,Yes,1
495,1,-1,Yes,1
496,1,-1,Yes,1
497,1,-1,Yes,1
498,1,-1,Yes,1
499,1,-1,Yes,1
500,1,-1,Yes,1
501,1,-1,Yes,1
502,1,-1,Yes,1
503,1,-1,Yes,1
504,1,-1,Yes,1
505,1,-1,Yes,1
506,1,-1,Yes,1
507,1,-1,Yes,1
508,1,-1,Yes,1
509,1,-1,Yes,1
510,1,-1,Yes,1
